Institution,Control,State,Plan,Notes,Resources
Skidmore College, Private, NY, Waiting to decide, waiting to decide, https://www.skidmore.edu/covid19/messages/2020-05-20-message.php
Smith College, Private, MA, Planning for in-person, planning for in-person, https://www.smith.edu/student-life/health-wellness/coronavirus
South Dakota Board of Regents, Public, SD, , will resume on-campus instruction in the fall, https://www.usd.edu/news/2020/usd-prepares-for-fall-semester-launch
South Dakota Board of Regents — Black Hills State University, Public, SD, Planning for in-person, , 
South Dakota Board of Regents — Dakota State University, Public, SD, Planning for in-person, , 
South Dakota Board of Regents — Northern State University, Public, SD, Planning for in-person, , 
South Dakota Board of Regents — South Dakota School of Mines and Technology, Public, SD, Planning for in-person, , 
South Dakota Board of Regents — South Dakota State University, Public, SD, Planning for in-person, , 
South Dakota Board of Regents — University of South Dakota, Public, SD, Planning for in-person, , 
Southeast Missouri State University, Public, MO, Waiting to decide, waiting to decide , https://semo.edu/sealerts/covid19/
Southeastern Oklahoma State University, Public, OK, Planning for in-person, intends to return to in-person instruction in the fall, https://www.se.edu/2020/05/new-southeastern-president-begins-duties-will-form-task-force-to-plan-for-return-to-regular-classes-in-the-fall/
Southern Illinois University, Public, IL, Waiting to decide, planning for in-person with modifications  with a final decision coming in June, https://thesouthern.com/news/local/siu/we-are-optimistic-siu-preparing-to-welcome-students-back-to-campuses-this-fall/article_ffcc5bff-dd25-5b2d-a3e8-b035b222648f.html
Southern Methodist University, Private, TX, Planning for in-person, plans to reopen campus in the fall, https://blog.smu.edu/coronavirus-covid-19/2020/04/30/we-intend-to-be-open-in-fall-2020/
Southern Nazarene University, Private, OK, Planning for in-person, planning for in-person, http://rudy.snu.edu/go/Covid-19.html#4.29
Southern New Hampshire University, Private, NH, Planning for in-person, planning to allow students to move into dorms  and is offering full tuition scholarships to incoming freshmen, https://www.snhu.edu/about-us/newsroom/2020/04/full-tuition-scholarships-for-incoming-freshmen
Southern Utah University, Public, UT, Proposing a hybrid model, plans to offer both in-person and online classes in the fall, https://www.suu.edu/news/2020/02/coronavirus-health-notice.html
Southwest Baptist University, Private, MO, Planning for in-person, planning for in-person, https://bolivarmonews.com/free/let-there-be-life/article_11d6e50e-91a1-11ea-b50e-d34ba7f9a711.html
Southwestern Baptist Theological Seminary, Private, TX, Planning for in-person, planning to have on-campus instruction, https://swbts.edu/news/releases/southwestern-seminary-announces-plans-resume-campus-instruction-fall/
Southwestern Oklahoma State University, Public, OK, Planning for in-person, Intends to resume in-person classes in the fall, https://www.swosu.edu/news/releases/2020/2020-05-04b.aspx
St. Cloud State University, Public, MN, Planning for in-person, planning for at least some face-to-face instruction, http://universitychron.com/scsu-town-hall-may-15-2020-the-word-of-our-future-is-flexible/
St. John Fisher College, Private, NY, Planning for in-person, planning to reopen in the fall, https://www.wxxinews.org/post/rochester-area-colleges-begin-planning-fall-reopening?fbclid=IwAR3avK0DvFMs9nSax-gIGeCeGEA14H5lEgJVYCBxJPuBd30lqJCSo8WGVTE
St. Louis University, Private, MO, Planning for in-person, planning a gradual reopening, https://www.ksdk.com/article/news/education/saint-louis-university-plan-fall-semester/63-7ef4d9d7-1048-42fb-8aeb-56b3c499f266
St. Mary’s College of California, Private, CA, Planning for in-person, “We are planning to welcome students back to campus and conduct in-person courses this fall.”, https://www.stmarys-ca.edu/public-safety-transportation/message-to-faculty-staff-students-about-fall-2020
St. Michael's College, Private, VT, Planning for in-person, planning for in-person, https://www.smcvt.edu/student-life/health-and-safety/bergeron-wellness-center/health-alert-coronavirus-covid-19/
St. Olaf College, Private, MN, Considering a range of scenarios, considering a range of scenarios, https://www.stolaf.edu/multimedia/play/?p=907
St. Vincent College, Private, PA, Planning for in-person, planning to resume as a residential campus with face-to-face instruction., https://www.stvincent.edu/community-events/newsroom/2020/05/15/planning-for-fall-2020
Stanford University, Private, CA, Waiting to decide, expects to make a decision in May  but might delay fall quarter till winter, https://www.stanforddaily.com/2020/04/16/next-academic-year-could-start-in-winter-provost-says/
Stephen F. Austin State University, Public, TX, Waiting to decide, will announce plans for fall by the end of June, http://www.sfasu.edu/life-at-sfa/health-safety/health-clinic/coronavirus/messages/20200423-campus-letter
Stetson University, Private, FL, Planning for in-person, planning for in-person classes but will make a decision by mid to late June, https://www.stetson.edu/other/covid-19/index.php
Stevens Institute of Technology, Private, NJ, Considering a range of scenarios, planning a variety of scenarios, https://www.stevens.edu/directory/student-health-services/health-advisory-update/coronavirus-2019-covid-19-information/advisories-updates/april-2020#042920a
Stockton University, Public, NJ, Waiting to decide, expects a final decision by mid-July, https://stockton.edu/emergency-management/coronavirus.html
Stony Brook University, Public, NY, Waiting to decide, expects a decision by June 30, https://www.stonybrook.edu/commcms/coronavirus/
Suffolk University, Private, MA, Considering a range of scenarios, considering a range of scenarios, https://www.suffolk.edu/student-life/health-wellness/coronavirus-health-advisory#collapse-Student-Preparations-for-the-Fall-Advisory-May-7-2020
Susquehanna University, Private, PA, Planning for in-person, planning for in-person, https://www.susqu.edu/emergency/coronavirus-update/may-18-update
Swarthmore College, Private, PA, Waiting to decide, anticipates being able to share plans by June 1, https://www.swarthmore.edu/coronavirus-disease-2019-covid-19-information/planning-academic-continuity
Sweet Briar College, Private, VA, Planning for in-person, plans to resume in-person instruction in the fall, https://sbc.edu/campus-safety/covid-19/
Syracuse University, Private, NY, Considering a range of scenarios, developing “multiple fall opening scenarios” with the “hope and intention that we will be welcoming students back to campus”, https://news.syr.edu/blog/2020/04/16/our-plan-for-fall-2020/
Tarleton State University, Public, TX, Planning for in-person, planning for face-to-face instruction in the fall, https://www.tarleton.edu/coronavirus/
Taylor University, Private, IN, Planning for in-person, planning for in-person, https://www.facebook.com/watch/live/?v=472602113490213&ref=watch_permalink
Temple University, Public, PA, Waiting to decide, expects a decision by the end of May, https://temple-news.com/temple-considering-plans-to-reopen-campus-in-fall-2020/
Tennessee State University, Public, TN, Planning for in-person, planning for in-person, https://tnstatenewsroom.com/archives/26255
Tennessee Technological University, Public, TN, Planning for in-person, We look forward to having you back on campus this fall., https://www.youtube.com/watch?v=1hdl7vXwz9A&feature=youtu.be
Texas A&amp;M University, Public, TX, Planning for in-person, planning for on-campus operations in the fall, https://www.tamu.edu/coronavirus/april-30-thank-you-and-plans-for-summer-fall.html
Texas Christian University, Private, TX, Planning for in-person, planning for in-person fall classes, https://www.tcu.edu/coronavirus/index.php#campus-statement-1
Texas State University system, Public, TX, , plans to resume face-to-face instruction at its campuses:, https://www.tsus.edu/newsroom/news-releases/release-050120-a.html
Texas State University system — Lamar Institute of Technology, Public, TX, Planning for in-person, , 
Texas State University system — Lamar State College Orange, Public, TX, Planning for in-person, , 
Texas State University system — Lamar State College Port Arthur, Public, TX, Planning for in-person, , 
Texas State University system — Lamar University, Public, TX, Planning for in-person, , 
Texas State University system — Sam Houston State University, Public, TX, Planning for in-person, , 
Texas State University system — Sul Ross State University, Public, TX, Planning for in-person, , 
Texas State University system — Texas State University, Public, TX, Planning for in-person, , 
Texas Tech University, Public, TX, Planning for in-person, plans to resume in-person instruction in the fall with a phased return that could include some in-person classes in the summer, https://www.depts.ttu.edu/communications/emergency/coronavirus/update-4-29-20.php
Texas Wesleyan University, Private, TX, Planning for in-person, planning for in-person, https://txwes.edu/coronavirus/
Texas Woman's University, Public, TX, Planning for in-person, planning for in-person classes, https://twu.edu/news-events/news/twu-plans-to-resume-in-person-classes-in-fall/
Thomas Jefferson University, Private, PA, Planning for in-person, planning for on-campus fall classes, https://www.jefferson.edu/coronavirus.html#updates
Transylvania University, Private, KY, Waiting to decide, will announce fall plans in early june, https://blog.transy.edu/2020/04/message-from-interim-president-williams-to-the-transylvania-community-april-24-2020/
Trevecca Nazarene University, Private, TN, Planning for in-person, plans to resume in-person classes unless health officials recommend otherwise, https://www.trevecca.edu/offices-services/trevecca-to-welcome-students-back-to-campus-for-the-fall-2020-semester
Trine University, Private, IN, Planning for in-person, planning to reopen in the fall, https://www.trine.edu/news/2020/open-fall.aspx
Trinity College, Private, IL, Planning for in-person, planning for in-person <, https://www.trnty.edu/kdykstra-051120/
Trinity University, Private, TX, Planning for in-person, planning for in-person , https://sites.google.com/trinity.edu/trinityuniversitycovid-19/community-messages/fall-semester-plans-5112020?authuser=0
Troy University, Public, AL, Planning for in-person, will return students to campus in the fall, https://www.troy.edu/coronavirus/
Tufts University, Private, MA, Considering a range of scenarios, planning a range of scenarios, https://coronavirus.tufts.edu/community-messages/04-24-20-academic-continuity-and-planning-for-fall-2020/
Tulane University, Private, LA, Planning for in-person, plans to have students on-campus for fall semester, https://president.tulane.edu/view-from-gibson/finals-and-plans-fall-heroes-helpers
Union College, Private, NY, Planning for in-person, planning for in-person, https://www.youtube.com/watch?v=YiikVDrbPpU&feature=youtu.be&utm_source=PMT+Updates&utm_campaign=6cb78e44fa-EMAIL_CAMPAIGN_2020_05_08_05_07_COPY_02&utm_medium=email&utm_term=0_8bc039f210-6cb78e44fa-491544770
Union University, Private, TN, Planning for in-person, plans to resume  face-to-face instruction in August, https://www.uu.edu/studentlife/health-services/covid-19.cfm
University of Alabama at Birmingham, Public, AL, Planning for in-person, , 
University of Alabama at Huntsville, Public, AL, Planning for in-person, , 
University of Alabama at Tuscaloosa, Public, AL, Planning for in-person, , 
University of Alabama system, Public, AL, Proposing a hybrid model, We are expecting to have a fall semester at all of our universities  the president said. We understand that things could happen that make it impossible  but that’s what we are planning for at this time.  University of Alaska  Anchorage Public AK proposing a hybrid model, https://www.al.com/education/2020/04/university-of-alabama-planning-to-reopen-for-fall-we-fully-expect-to-have-on-campus-instruction.html; https://www.uaa.alaska.edu/news/archive/2020/04/uaa-fall-2020-plans.cshtml
University of Arizona, Public, AZ, Planning for in-person, intends to offer in-person classes in the fall, https://uanews.arizona.edu/story/president-robbins-uarizona-plans-resume-inperson-classes-fall
University of Arkansas at Fayetteville, Public, AR, Planning for in-person, , 
University of Arkansas at Fort Smith, Public, AR, Planning for in-person, , 
University of Arkansas at Little Rock, Public, AR, Planning for in-person, , 
University of Arkansas system, Public, AR, , trustees approved in-person fall instruction, https://www.arkansasonline.com/news/2020/may/05/ua-trustees-ok-campus-classes-for-fall-/
University of Bridgeport, Private, CT, Planning for in-person, planning for in-person, https://www.bridgeport.edu/covid-19/announcements
University of Buffalo, Public, NY, Considering a range of scenarios, planning a range of scenarios, http://www.buffalo.edu/president/from-the-president/communications/Phase2.html
University of California at Berkeley, Public, CA, Proposing a hybrid model, Some or all classes will be delivered via remote instruction., https://sa.berkeley.edu/covid19/Fall2020
University of California at Davis, Public, CA, Proposing a hybrid model, proposing a hybrid model, https://www.davisenterprise.com/local-news/uc-davis-likely-to-offer-remote-instruction-option-in-the-fall/
University of California at San Diego, Public, CA, Proposing a hybrid model, intends to offer a combination of in-person and remote instruction, https://coronavirus.ucsd.edu/#current-status
University of California at Santa Barbara, Public, CA, Considering a range of scenarios, “We are planning for a range of scenarios for our research  instruction  and operations.”, https://chancellor.ucsb.edu/memos/2020-05-14-covid-19-update-planning-efforts-our-path-forward
University of California at Santa Cruz, Public, CA, Waiting to decide, considering a range of scenarios Considering a range of scenarios , https://news.ucsc.edu/2020/04/information-about-fall-quarter-2020.html
University of Central Arkansas, Public, AR, Planning for in-person, planning for in-person, https://uca.edu/news/covid-19-update-may-8-2020-planning-for-fall-semester/
University of Central Florida, Public, FL, Planning for in-person, leaning toward in-person classes, https://twitter.com/ByBerkowitz/status/1253321140803698690
University of Central Missouri, Public, MO, Planning for in-person, planning in-person fall classes, https://www.ucmo.edu/about/university-leadership/ucm-president/
University of Central Oklahoma, Public, OK, Planning for in-person, planning for in-person, https://www.uco.edu/coronavirus/
University of Charleston, Private, WV, Planning for in-person, expects campus to be open in the fall , https://www.ucwv.edu/coronavirus-information/
University of Chicago, Private, IL, Waiting to decide, plans to decide by the end of June, https://coronavirusupdates.uchicago.edu/apr-24-email-update/
University of Cincinnati, Public, OH, Waiting to decide, hoping to announce fall plans by mid-June, https://local12.com/news/local/fall-plans-for-local-colleges-to-be-announced-by-mid-june-cincinnati
University of Colorado at Boulder, Public, CO, Proposing a hybrid model, leaning toward a hybrid plan; will announce by June, https://www.colorado.edu/coronavirus; https://www.colorado.edu/chancellor/newsletter/chancellor/covid-19-update-our-planning-process-fall-2020
University of Connecticut, Public, CT, Waiting to decide, no decision until summer, https://www.courant.com/coronavirus/hc-news-coronavirus-uconn-fall-semester-possibly-online-20200424-tgjh2akp3rar5lqmbrbspjb744-story.html
University of Dallas, Private, TX, Planning for in-person, planning for in-person, https://udallas.edu/news/2020/university-update-residential-academic-classes-to-reopen-fall-2020
University of Dayton, Private, OH, Planning for in-person, “pivoting toward re-opening campus in the fall” as highest priority, https://udayton.edu/president/path-forward/index.php
University of Delaware, Public, DE, Planning for in-person, “We remain cautiously optimistic that we will be in a position to welcome all students on campus this fall.”, https://www.udel.edu/udaily/2020/april/covid-19-response-community-letter-president-assanis/
University of Denver, Private, CO, Planning for in-person, “We plan to reopen with face-to-face classes when we begin our fall quarter in mid-September  as long as we can do so safely and responsibly. … We will make a final decision no later than July 15.”, https://www.du.edu/coronavirus
University of Findlay, Private, OH, Planning for in-person, planning for in-person, https://newsroom.findlay.edu/university-of-findlay-to-resume-in-person-classes-residential-living-this-fall/
University of Florida, Public, FL, Waiting to decide, will announce plans by mid-July, http://www.ufl.edu/health-updates/institutional-recovery-strategy/
University of Hawaii, Public, HI, Planning for in-person, Planning to resume in-person instruction, https://www.staradvertiser.com/2020/05/04/breaking-news/university-of-hawaii-to-resume-in-person-instruction-for-fall-semester/
University of Houston, Public, TX, Considering a range of scenarios, expects to resume face-to-face instruction  but is planning for a range of scenarios, https://cloudapps.uh.edu/sendit/w/THVLNU3k6jqJhqMQrFvJSA/YnMQUW1VLUcjNrID5m0zPA/763892ok763J41Zk892iBU72XVwolg
University of Idaho, Public, ID, Planning for in-person, We plan to have in-person classes while maintaining safety through social distancing and face coverings  as protocols outline., https://www.uidaho.edu/vandal-health-clinic/coronavirus
University of Illinois at Urbana-Champaign, Public, IL, Planning for in-person, We are planning for in-person classes to begin as scheduled., https://chicago.suntimes.com/education/2020/4/24/21234508/university-of-illinois-admission-tuition-payment-financial-aid-acceptance-coronavirus-covid-19
University of Indianapolis, Private, IN, Planning for in-person, planning for in-person, https://uindy.edu/coronavirus/?_ga=2.42512355.718056542.1589888356-214593907.1582307099#introduction
University of Kansas, Public, KS, Planning for in-person, “Our plan is to resume on-campus operations in some capacity this fall.”, https://coronavirus.ku.edu/sites/coronavirus.ku.edu/files/docs/Restoring%20the%20KU%20Community.pdf
University of Kentucky, Public, KY, Planning for in-person, We plan to open in August for our fall semester. , https://www.uky.edu/coronavirus/updates/how-we-reinvent-normal-our-campus
University of La Verne, Private, CA, Planning for in-person, “We are planning to resume face-to-face instruction and residence hall operation in the fall.”, https://laverne.edu/health/2020/fall-planning-and-budget-outlook/
University of Louisiana system, Public, LA, , planning for in-person at its campuses:, https://www.wafb.com/2020/05/11/ul-system-plans-resume-in-person-classes-its-schools-this-fall/
University of Louisiana system — Grambling State University, Public, LA, Planning for in-person, , 
University of Louisiana system — Louisiana Tech University, Public, LA, Planning for in-person, , 
University of Louisiana system — McNeese State University, Public, LA, Planning for in-person, , 
University of Louisiana system — Nicholls State University, Public, LA, Planning for in-person, , 
University of Louisiana system — Northwestern State University, Public, LA, Planning for in-person, , 
University of Louisiana system — Southeastern Louisiana University, Public, LA, Planning for in-person, , 
University of Louisiana system — University of Louisiana at Lafayette, Public, LA, Planning for in-person, , 
University of Louisiana system — University of Louisiana at Monroe, Public, LA, Planning for in-person, , 
University of Louisiana system — University of New Orleans, Public, LA, Planning for in-person, , 
University of Louisville, Public, KY, Considering a range of scenarios, considering a range of scenarios, https://louisville.edu/coronavirus/communications-and-updates/messages/FromtheProvostPivotingtoFall2020.pdf
University of Lynchburg, Private, VA, Planning for in-person, planning in-person fall classes, https://www.lynchburg.edu/about/covid-19/messages-from-president-garren/
University of Maine –- Machias, Public, ME, Planning for in-person, , 
University of Maine — Augusta, Public, ME, Planning for in-person, , 
University of Maine — Farmington, Public, ME, Planning for in-person, , 
University of Maine — Fort Kent, Public, ME, Planning for in-person, , 
University of Maine — Presque Isle, Public, ME, Planning for in-person, , 
University of Maine — University of Southern Maine, Public, ME, Planning for in-person, , 
University of Maine system, Public, ME, , planning for in-person classes at its campuses:, https://bangordailynews.com/2020/04/21/education/maine-universities-plan-to-reopen-campus-this-fall-but-student-life-likely-wont-be-the-same/
University of Mary, Private, ND, Planning for in-person, intends to hold in-person classes in the fall, https://news.umary.edu/university-of-mary-announces-intention-to-resume-on-campus-classes-in-september/
University of Mary Hardin-Baylor, Private, TX, Planning for in-person, planning for in-person, https://go.umhb.edu/coronavirus/covid-19
University of Mary Washington, Public, VA, Planning for in-person, intends to start in-person instruction in August but says we should also be prepared for the unknown, https://www.umw.edu/advisories/2020/04/24/fall-opening-and-tuition-freeze/
University of Massachusets Amherst, Public, MA, Waiting to decide, expects a decision in “early summer”, https://www.youtube.com/watch?v=QIiWY6mz4lY&feature=youtu.be
University of Miami, Private, FL, Planning for in-person, Our expectation is to begin our fall semester on time and on campus  so long as we can do so safely., https://www.youtube.com/watch?v=msSIqGafFqo
University of Michigan, Public, MI, Planning for in-person, planning for in-person, https://coronavirus.umich.edu/
University of Minnesota, Public, MN, Waiting to decide, considering a range of scenarios and waiting to decide, https://www.startribune.com/university-of-minnesota-budget-envisions-multiple-scenarios-for-fall-class/570293472/
University of Mississippi, Public, MS, , expects a decision by June 30, https://coronavirus.olemiss.edu/2020/04/29/update-on-university-operations-during-covid-19/#more-2448
University of Missouri, Public, MO, Proposing a hybrid model, planning for in-person classes  though the system president said he is becoming less optimistic about fully opening in the fall, https://abc17news.com/news/coronavirus/2020/04/22/wednesday-updates-columbia-college-student-tests-positive-for-covid-19/; https://www.columbiamissourian.com/news/covid19/um-president-less-optimistic-about-fully-opening-in-fall-exploring-options/article_30ab8bf4-85a0-11ea-b95e-d32ca577bb0a.html
University of Missouri at Kansas City, Public, MO, Waiting to decide, expects to be on campus in the fall, https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html
University of Mobile, Private, AL, Planning for in-person, “plans to resume on-ground instruction and residential housing this fall”, https://umobile.edu/news/university-of-mobile-plans-to-return-to-on-campus-instruction-in-fall/
University of Montana, Public, MT, Planning for in-person, planning for in-person, https://www.umt.edu/coronavirus/communications/may7_president.php
University of Montevallo, Public, AL, Planning for in-person, planning for in-person, https://www.montevallo.edu/about-um/marcomm/coronavirus-information/may-1/
University of Nebraska — Kearney, Public, NE, Planning for in-person, , 
University of Nebraska — Lincoln, Public, NE, Planning for in-person, , 
University of Nebraska — Omaha, Public, NE, Planning for in-person, , 
University of Nebraska system, Public, NE, Planning for in-person, The system expects to hold classes on its campuses in the fall:  University of Nevada  Reno Public NV  planning for in-person fall classes, https://www.omaha.com/news/education/unl-expects-to-hold-on-campus-classes-in-the-fall-chancellor-says/article_3c549fae-b83e-5dce-b4e4-bf159513b178.html; https://www.unr.edu/coronavirus/messages/2020-05-04-plan-to-return-to-normal-operations
University of New England, Private, ME, Planning for in-person, planning to reopen campus in the fall, https://www.une.edu/news/2020/university-new-england-announces-plans-open-maine-campuses-fall-semester
University of New Hampshire, Public, NH, Planning for in-person, planning for in-person, https://www.unh.edu/president/person-instruction-resume-fall-semester
University of New Haven, Private, CT, Considering a range of scenarios, intends to bring students back to campus in August  but is also “exploring academic contingencies for a variety of scenarios”, https://www.newhaven.edu/coronavirus-info.php#notifications
University of North Carolina at Asheville, Public, NC, Planning for in-person, planning for in-person instruction, https://coronavirus.unca.edu/resources/academics/
University of North Carolina at Chapel Hill, Public, NC, Planning for in-person, optimistic for on-campus classes this fall  but still considering a variety of options, https://www.newsobserver.com/news/local/education/article242316001.html
University of North Carolina at Charlotte, Public, NC, Planning for in-person, will begin fall semester two weeks later than planned, https://emergency.uncc.edu/health-advisories/coronavirus-information/coronavirus-campus-updates
University of North Carolina at Greensboro, Public, NC, Planning for in-person, expects to start fall semester in-person, https://update.uncg.edu/uncg-outlook-for-fall-2020/
University of North Carolina at Pembroke, Public, NC, Planning for in-person, We fully expect and it is our present intention to be back in our classrooms  labs  and offices this fall., https://www.uncp.edu/news/uncp-plans-fall-2020-operations
University of North Texas, Public, TX, Planning for in-person, planning on safely resuming campus learning and residential life for fall 2020., https://www.unt.edu/notices/planning-be-together-again-our-beautiful-campus-message-president
University of Northern Colorado, Public, CO, Planning for in-person, planning to return to campus in the fall, https://www.unco.edu/coronavirus/messages/planning-fall-semester.aspx
University of Northwestern – St. Paul, Private, MN, Planning for in-person, planning for in-person, https://unwsp.edu/news/coronavirus
University of Notre Dame, Private, IN, Planning for in-person, will welcome students back two weeks earlier than scheduled  on August 10  and end the semester before Thanksgiving, https://news.nd.edu/news/notre-dame-to-begin-fall-semester-on-campus-the-week-of-aug-10/
University of Oklahoma, Public, OK, Planning for in-person, Our intention is to return to in-person educational operations on all three campuses by this fall  offering traditional instruction and residential life., http://www.ou.edu/web/news_events/articles/news_2020/letter-from-interim-president-harroz-fall-semester-plans
University of Oregon, Public, OR, Planning for in-person, The university is aiming for in-person instruction in the fall  but the president says it is unlikely that our fall quarter will look just like last fall., https://around.uoregon.edu/content/uo-making-plans-campus-instruction-fall-term
University of Pennsylvania, Private, PA, Proposing a hybrid model, “planning for a likely combination of in-class and virtual teaching.”, https://coronavirus.upenn.edu/
University of Pittsburgh, Public, PA, Considering a range of scenarios, says back to normal probably is not likely for the fall, https://www.post-gazette.com/news/education/2020/04/16/Pitt-academic-calendar-university-students-Pittsburgh-fall-semester-coronavirus/stories/202004160183
University of Portland, Private, OR, Planning for in-person, The university's goal is to operate in-person  but the president said it may adjust the academic calendar and conduct some or all of our instruction in an online format if absolutely necessary., https://www.upbeacon.com/article/2020/04/university-of-portland-considering-late-start-to-fall-semester
University of Puget Sound, Private, WA, Planning for in-person, We plan to welcome new and returning students to campus in the fall and resume in-person courses … while adhering to public health guidelines., https://www.pugetsound.edu/emergency/coronavirus-2020/frequently-asked-questions/#normalfall
University of Redlands, Private, CA, Considering a range of scenarios, planning a range of options  and expects an update by mid-June, https://www.redlands.edu/coronavirus-resources/message-29-on-429-considering-options-for-reopening-campuses/
University of Richmond, Private, VA, Considering a range of scenarios, intends , https://www.richmond.edu/coronavirus/messages/index.html
University of Rochester, Private, NY, Considering a range of scenarios, making plans to offer two full semesters of instruction to our undergraduate and graduate students  ideally beginning with in-person orientation and classes”, https://www.rochester.edu/coronavirus-update/message-from-provost-rob-clark-regarding-the-upcoming-academic-year/
University of Saint Francis, Private, IN, Planning for in-person, planning for in-person, https://news.sf.edu/2020/04/30/usf-announces-plan-to-return-to-on-campus-instruction-in-fall/
University of San Diego, Private, CA, Proposing a hybrid model, following a six-point plan for bringing students back to campus, https://www.sandiego.edu/news/detail.php?_focus=76564
University of San Francisco, Private, CA, Planning for in-person, planning for “as much in-person instruction as possible”, https://www.usfca.edu/admission/undergraduate/covid-19
University of Scranton, Private, PA, Planning for in-person, planning for in-person fall classes, https://www.scranton.edu/covid-19/documents/summer-campus-update-4-24-20.pdf
University of South Alabama, Public, AL, Planning for in-person, planning to resume in-person classes in the fall, https://www.southalabama.edu/departments/publicrelations/pressreleases/050120reopen.html
University of South Carolina, Public, SC, Planning for in-person, will conduct in-person fall classes , https://sc.edu/safety/coronavirus/
University of Southern California, Private, CA, Waiting to decide, hopes to announce fall plans within the next two months, https://www.latimes.com/california/story/2020-04-28/usc-wont-give-partial-tuition-refunds-even-as-coronvirus-has-forced-campus-to-shift-to-online-learning
University of Southern Mississippi, Public, MS, Planning for in-person, planning for students to be on-campus in the fall, https://www.usm.edu/news/2020/release/usm-preparing-to-welcome-students-back-to-campuses-this-fall.php
University of Tampa, Private, FL, Planning for in-person, planning for in-person, https://www.ut.edu/about-ut/university-services/office-of-public-information/fall-2020-opening
University of Tennessee system, Public, TN, , planning to bring students back to its campuses in the fall:, https://www.utk.edu/coronavirus/updates/returning-to-campus-this-fall
University of Tennessee system — Chattanooga, Public, TN, Planning for in-person, , 
University of Tennessee system — Knoxville, Public, TN, Planning for in-person, , 
University of Tennessee system — Martin, Public, TN, Planning for in-person, , 
University of Texas — Arlington, Public, TX, Planning for in-person, , 
University of Texas — Austin, Public, TX, Planning for in-person, , 
University of Texas — Dallas, Public, TX, Planning for in-person, , 
University of Texas — El Paso, Public, TX, Planning for in-person, , 
University of Texas — Permian Basin, Public, TX, Planning for in-person, , 
University of Texas — Rio Grande Valley, Public, TX, Planning for in-person, , 
University of Texas — San Antonio, Public, TX, Planning for in-person, , 
University of Texas — Tyler, Public, TX, Planning for in-person, , 
University of Texas system, Public, TX, , The UT System is planning for all institutions to hold classes on campus in the fall  and will fully comply with state and public health guidance to help ensure the health and safety of students  faculty  staff and visitors:, https://www.utsystem.edu/sites/covid-19/institutional-guidance
University of the Pacific, Private, CA, Planning for in-person, planning to welcome students back to its campuses in August, http://echo4.bluehornet.com/hostedemail/email.htm?CID=42181419576&ch=1B19627B7FC4A9CB523E4CAB01BB3A2C&h=20ac1e3452dc16b9b06a10c15882100c&ei=T-TMkPlNt&st=29-APR-20
University of Toledo, Public, OH, Planning for in-person, intends to reopen campus in the fall, http://news.utoledo.edu/index.php/05_11_2020/preparing-campus-utoledo-aims-to-open-campus-in-the-fall
University of Vermont, Public, VT, Planning for in-person, Based on information currently available  I am confident UVM will be able to return to in-person status in fall 2020  the president said., https://www.uvm.edu/newsstories/news/4/29/20-looking-fall-2020-message-president-garimella
University of Virginia, Public, VA, Waiting to decide, plans an update on fall by mid June, https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/
University of Washington, Publiuc, WA, Proposing a hybrid model, expects to have some in-person fall classes, https://www.seattletimes.com/seattle-news/education/uw-expects-to-resume-some-in-person-classes-in-the-fall-following-coronavirus-closure/
University of West Alabama, Public, AL, Planning for in-person, expects to have in-person fall classes, https://www.uwa.edu/news/Fall2020CampusReturn
University of Wisconsin at Green Bay, Public, WI, Planning for in-person, plans to open campus in July, ”https://fox11online.com/news/coronavirus/uwgb-announces-additional-furloughs-campus-to-reopen-in-july”
University of Wisconsin at Madison, Public, WI, Considering a range of scenarios, considering a range of scenarios  including hybrid and online options, https://uwm.edu/coronavirus/updates/chancellors-update-creating-uwms-future/
University of Wisconsin at Milwaukee, Public, WI, Considering a range of scenarios, considering a range of scenarios  including hybrid and online options, https://uwm.edu/coronavirus/updates/chancellors-update-creating-uwms-future/
University of Wyoming, Public, WY, Planning for in-person, planning for in-person, http://www.uwyo.edu/uw/news/2020/05/uw-moves-toward-on-campus-education-this-fall.html
University System of Georgia, Public, GA, , The system plans in-person instruction at its campuses during the fall 2020 semester:, 
University System of Georgia — Abraham Baldwin Agricultural College, Public, GA, Planning for in-person, , 
University System of Georgia — Albany State University, Public, GA, Planning for in-person, , 
University System of Georgia — Atlanta Metropolitan State College, Public, GA, Planning for in-person, , 
University System of Georgia — Augusta University, Public, GA, Planning for in-person, , 
University System of Georgia — Clayton State University, Public, GA, Planning for in-person, , 
University System of Georgia — College of Coastal Georgia, Public, GA, Planning for in-person, , 
University System of Georgia — Columbus State University, Public, GA, Planning for in-person, , 
University System of Georgia — Dalton State College, Public, GA, Planning for in-person, , 
University System of Georgia — East Georgia State College, Public, GA, Planning for in-person, , 
University System of Georgia — Fort Valley State University, Public, GA, Planning for in-person, , 
University System of Georgia — Georgia Gwinnett College, Public, GA, Planning for in-person, , 
University System of Georgia — Georgia Highlands College, Public, GA, Planning for in-person, , 
University System of Georgia — Georgia Institute of Technology, Public, GA, Planning for in-person, , 
University System of Georgia — Georgia Southern University, Public, GA, Planning for in-person, , 
University System of Georgia — Georgia Southwestern State University, Public, GA, Planning for in-person, , 
