state,county,trump_percent,clinton_percent
Iowa,Dallas,0.5055683362961414,0.41046219805500367
Iowa,Davis,0.7014425553838227,0.25167439464193714
Iowa,Decatur,0.6148901981788967,0.3216389930369577
Iowa,Delaware,0.6161670814846878,0.31998701439238175
Iowa,Des Moines,0.4988221745275611,0.4298801235408051
Iowa,Dickinson,0.652211705621016,0.2951516322194321
Iowa,Dubuque,0.47183282717564007,0.4595643691800245
Iowa,Emmet,0.657269093204292,0.28550389227856093
Iowa,Fayette,0.5634085213032581,0.3698245614035088
Iowa,Floyd,0.542803970223325,0.3944168734491315
Iowa,Franklin,0.6366747181964574,0.3005233494363929
Iowa,Fremont,0.6695410292072322,0.2678720445062587
Iowa,Greene,0.5849408836341008,0.3507571043352002
Iowa,Grundy,0.6587601862630966,0.270081490104773
Iowa,Guthrie,0.6309565217391304,0.3012173913043478
Iowa,Hamilton,0.5800623862750195,0.35430205354821936
Iowa,Hancock,0.6773973769374894,0.2703117015840572
Iowa,Hardin,0.6157271768428454,0.32661432087190906
Iowa,Harrison,0.6566644340254522,0.2854655056932351
Iowa,Henry,0.6145257337303275,0.3088047639302425
Iowa,Howard,0.5727133143233165,0.3678438254003071
Iowa,Humboldt,0.7013957145665421,0.2461175545508158
Iowa,Ida,0.7350498338870431,0.21926910299003322
Iowa,Iowa,0.5845687331536388,0.3463611859838275
Iowa,Jackson,0.5648884578079535,0.37216294859359844
Iowa,Jasper,0.5547966796259325,0.37348954502469267
Iowa,Jefferson,0.45953898970083373,0.4548798430603237
Iowa,Johnson,0.2735118273979725,0.6524564595788926
Iowa,Jones,0.5644922530346393,0.3737293989933879
Iowa,Keokuk,0.6800401203610833,0.26920762286860583
Iowa,Kossuth,0.6567909840827234,0.2954571860113861
Iowa,Lee,0.5450436505479537,0.3848058943718655
Iowa,Linn,0.413243607918154,0.5032963842251789
Iowa,Louisa,0.6128194888178914,0.329073482428115
Iowa,Lucas,0.6607717041800643,0.2845659163987138
Iowa,Lyon,0.8141759448016309,0.14426846479535832
Iowa,Madison,0.6206577119036591,0.310097267253358
Iowa,Mahaska,0.6990218209179835,0.24633182844243792
Iowa,Marion,0.6152896273013022,0.3077009429726089
Iowa,Marshall,0.5086763070077864,0.42558398220244714
Iowa,Mills,0.6582229150428682,0.27149909067290207
Iowa,Mitchell,0.5888868377330626,0.34853239800627656
Iowa,Monona,0.6824146981627297,0.2727471566054243
Iowa,Monroe,0.682535575679172,0.27322121604139715
Iowa,Montgomery,0.6812053925455988,0.26050753370341
Iowa,Muscatine,0.493156323968303,0.4305855716785016
Iowa,O'Brien,0.7766675668376991,0.17755873615987036
Iowa,Osceola,0.7877373171490819,0.17180205415499533
Iowa,Page,0.694633730834753,0.2565303804656445
Iowa,Palo Alto,0.6551137571762705,0.2972570699553477
Iowa,Plymouth,0.7338893100833965,0.21872630780894617
Iowa,Pocahontas,0.6990944372574386,0.24915912031047865
Iowa,Polk,0.40375720671114856,0.5173889572671719
Iowa,Pottawattamie,0.5727975632614808,0.35977038425492036
Iowa,Poweshiek,0.5030001016983626,0.43770975287297875
Iowa,Ringgold,0.6738086442556336,0.2781677133357961
Iowa,Sac,0.7104758250191865,0.2436684574059862
Iowa,Scott,0.454059382973788,0.46903270702853167
Iowa,Shelby,0.6847723704866562,0.2609105180533752
Iowa,Sioux,0.8126305375398483,0.12641530174782895
Iowa,Story,0.38403694712534786,0.5074111354530563
Iowa,Tama,0.5679844606946983,0.36517367458866545
Iowa,Taylor,0.6969296797622978,0.2502476064707824
Iowa,Union,0.6044238683127572,0.3295610425240055
Iowa,Van Buren,0.7096321258073575,0.2372928952541421
Iowa,Wapello,0.5752854973925672,0.36926529803947455
Iowa,Warren,0.5426373626373626,0.38135531135531137
Iowa,Washington,0.5648275231036691,0.3607832372586696
Iowa,Wayne,0.7037414965986395,0.2445578231292517
Iowa,Webster,0.5769363166953528,0.361732644865175
Iowa,Winnebago,0.5956454121306376,0.3336789355451875
Iowa,Winneshiek,0.4703397289209646,0.46241858827671184
