CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
Sierra College,Sierra College,"5100 Sierra College Blvd, Rocklin, California 95677-3397",Suburb: Large,Yes,30377040.0,3183.0,3910453.00 ,6971.00 ,18226,0,972,2,Public,CA,95677,Rocklin,Placer County,6214.0,1143.0,0,0,0,0,0.0,13863.0,,
Sierra Nevada College,Sierra Nevada College,"999 Tahoe Blvd., Incline Village, Nevada 89451",Town: Distant,Yes,7254792.0,19243.0,2419920.00 ,8231.00 ,371,384,157,4,Privatenot-for-profit,NV,89451,Incline Village,Washoe County,0.0,0.0,0,0,0,0,33384.5,49445.75,18700.0,465.0
Simmons College of Kentucky,Simmons College of Kentucky,"1018 South 7th Street, Louisville, Kentucky 40203-3322",City: Large,No,1205229.0,7394.0,0.00 ,_,209,0,53,4,"primarilyassociate's,Privatenot-for-profit",KY,40203,Louisville,Jefferson County,0.0,0.0,0,0,0,0,5580.0,15642.75,,
Simmons University,Simmons University,"300 The Fenway, Boston, Massachusetts 02115-5898",City: Large,Yes,46829771.0,27038.0,7790094.00 ,6641.00 ,1761,4774,972,4,Privatenot-for-profit,MA,2115,Boston,Suffolk County,0.0,0.0,0,0,0,0,40280.0,59035.0,21654.0,164.0
Simpson College ,Simpson College,"701 North C St, Indianola, Iowa 50125",Town: Fringe,Yes,34240606.0,25803.0,6566401.00 ,6599.00 ,1307,48,178,4,Privatenot-for-profit,IA,50125,Indianola,Warren County,0.0,0.0,0,0,0,0,38337.25,51187.5,8525.0,108.0
Simpson University ,Simpson University,"2211 College View Drive, Redding, California 96003-8606",City: Small,Yes,10972519.0,17584.0,3494721.00 ,7647.00 ,702,152,128,4,Privatenot-for-profit,CA,96003,Redding,Shasta County,0.0,0.0,0,0,0,0,28965.0,42366.0,13000.0,140.0
Sinclair Community College,Sinclair Community College,"444 W. Third St., Dayton, Ohio 45402-1460",City: Midsize,No,26919032.0,3325.0,18063153.00 ,4300.00 ,18794,0,1142,4,"primarilyassociate's,Public",OH,45402,Dayton,Montgomery County,7129.5,3864.0,0,0,0,0,0.0,12197.0,,
Sinte Gleska University,Sinte Gleska University,"E. Highway 18, 101 Antelope Lake Circle, Mission, South Dakota 57555-0105",Rural: Remote,No,1842121.0,5633.0,0.00 ,_,484,65,34,4,"primarilyassociate's,Public",SD,57555,Mission,Todd County,0.0,0.0,0,0,0,0,3154.0,21154.0,1500.0,508.0
Sitting Bull College,Sitting Bull College,"9299 Hwy 24, Fort Yates, North Dakota 58538-9721",Rural: Remote,Yes,2446318.0,10279.0,0.00 ,_,257,28,39,4,"primarilyassociate's,Public",ND,58538,Fort Yates,Sioux County,0.0,0.0,0,0,0,0,3960.0,14206.0,6300.0,410.0
Skagit Valley College,Skagit Valley College,"2405 E. College Way, Mount Vernon, Washington 98273",City: Small,Yes,10147310.0,5736.0,2124577.00 ,6323.00 ,5085,0,219,4,"primarilyassociate's,Public",WA,98273,Mount Vernon,Skagit County,5246.0,4150.0,0,0,0,0,0.0,17950.0,,
Skidmore College,Skidmore College,"815 N Broadway, Saratoga Springs, New York 12866",Suburb: Small,Yes,55224930.0,46408.0,4285861.00 ,5669.00 ,2662,1,374,4,Privatenot-for-profit,NY,12866,Saratoga Springs,Saratoga County,0.0,0.0,0,0,0,0,53543.0,70580.0,,
Skyline College,Skyline College,"3300 College Dr, San Bruno, California 94066-1698",Suburb: Large,No,10137839.0,2564.0,390682.00 ,7235.00 ,8803,0,349,4,"primarilyassociate's,Public",CA,94066,San Bruno,San Mateo County,8995.5,1458.0,0,0,0,0,0.0,21483.0,,
Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania,"1 Morrow Way, Slippery Rock, Pennsylvania 16057-1383",Town: Distant,Yes,30827082.0,6482.0,33360341.00 ,6499.00 ,7440,1338,457,4,Public,PA,16057,Slippery Rock,Butler County,14292.25,10340.0,9288,13932,3371,3371,0.0,24585.0,,
Smith College,Smith College,"Elm St, Northampton, Massachusetts 01063",Suburb: Large,Yes,78347410.0,44796.0,6015500.00 ,5102.00 ,2531,363,470,4,Privatenot-for-profit,MA,1063,Northampton,Hampshire County,0.0,0.0,0,0,0,0,51144.0,71020.0,53940.0,0.0
Snead State Community College,Snead State Community College,"102 Elder Street, Boaz, Alabama 35957-0734",Town: Distant,Yes,8542487.0,5639.0,2430024.00 ,5352.00 ,2237,0,147,2,Public,AL,35957,Boaz,Marshall County,8392.5,4672.5,0,0,0,0,0.0,13315.0,,
Snow College,Snow College,"150 E College Ave, Ephraim, Utah 84627",Town: Remote,Yes,11561274.0,4271.0,2969770.00 ,1416.00 ,5383,0,306,4,"primarilyassociate's,Public",UT,84627,Ephraim,Sanpete County,12472.5,3715.5,0,0,0,0,0.0,13190.5,,
Soka University of America,Soka University of America,"1 University Drive, Aliso Viejo, California 92656-8081",Suburb: Large,Yes,15014530.0,35245.0,1018447.00 ,6135.00 ,406,13,82,4,Privatenot-for-profit,CA,92656,Aliso Viejo,Orange County,0.0,0.0,0,0,0,0,32486.5,48231.0,32250.0,1732.0
Solano Community College,Solano Community College,"4000 Suisun Valley Rd, Fairfield, California 94534-3197",Suburb: Midsize,No,10783082.0,2514.0,721996.00 ,7078.00 ,9330,0,386,4,"primarilyassociate's,Public",CA,94534,Fairfield,Solano County,6394.75,1145.75,0,0,0,0,0.0,21085.0,,
Somerset Community College,Somerset Community College,"808 Monticello Street, Somerset, Kentucky 42501-2973",Town: Remote,No,20717020.0,3887.0,8109739.00 ,5215.00 ,5644,0,277,2,Public,KY,42501,Somerset,Pulaski County,14076.0,4158.0,0,0,0,0,0.0,14983.0,,
Sonoma State University,Sonoma State University,"1801 E Cotati Ave, Rohnert Park, California 94928-3609",Suburb: Large,Yes,39969859.0,7968.0,19270975.00 ,6054.00 ,8143,744,558,4,Public,CA,94928,Rohnert Park,Sonoma County,19397.5,7697.5,7176,16680,2138,2138,0.0,26526.5,,
South Arkansas Community College,South Arkansas Community College,"300 S West Ave, El Dorado, Arkansas 71731-7010",Town: Remote,No,3735577.0,4522.0,1714435.00 ,4927.00 ,1443,0,95,2,Public,AR,71731,El Dorado,Union County,4758.0,2946.0,0,0,0,0,0.0,19346.25,,
South Carolina State University,South Carolina State University,"300 College St NE, Orangeburg, South Carolina 29117-0001",Town: Distant,Yes,19369114.0,9656.0,13980012.00 ,7623.00 ,2155,324,244,4,Public,SC,29117,Orangeburg,Orangeburg County,21280.0,10820.0,9928,21038,1532,1532,0.0,29820.0,,
South Central College,South Central College,"1920 Lee Blvd, North Mankato, Minnesota 56003-1920",Suburb: Small,No,7083156.0,3993.0,5038407.00 ,5549.00 ,2775,0,162,2,Public,MN,56003,Mankato,Nicollet County,0.0,0.0,0,0,0,0,5442.0,17993.0,,
South Dakota School of Mines and Technology,South Dakota School of Mines and Technology,"501 E Saint Joseph St, Rapid City, South Dakota 57701-3995",City: Small,Yes,7949720.0,5682.0,7337035.00 ,6374.00 ,2202,323,179,4,Public,SD,57701,Rapid City,Pennington County,14950.0,10722.5,7920,15900,3350,3350,0.0,25117.5,,
South Dakota State University,South Dakota State University,"1015 Campanile Avenue, Brookings, South Dakota 57007-1898",Town: Remote,Yes,29040513.0,4997.0,34701394.00 ,6305.00 ,10067,1445,863,4,Public,SD,57007,Brookings,Brookings County,11952.25,8622.75,8083,15541,1134,1134,0.0,22694.75,,
South Florida State College,Florida SouthWestern State College,"8099 College Parkway, Fort Myers, Florida 33919",Suburb: Large,Yes,16134136.0,2559.0,5664613.00 ,2366.00 ,16674,0,592,4,"primarilyassociate's,Public",FL,33919,Fort Myers,Lee County,12979.0,3401.0,0,0,0,0,0.0,17811.0,,
