2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
1024069,1005634,956225,970666,985232,Jasper, TX,1305191,1327760,1345714,1400365,1463683
73592,72827,70060,72178,72768,Jeff Davis, TX,82308,88010,88138,88654,96717
21277402,21956655,23478937,23759625,23729173,Jefferson, TX,10257069,10680846,10534980,10833993,11236716
207331,216959,226035,224393,223390,Jim Hogg, TX,165618,164470,156578,156053,161094
2450382,1937644,1565164,1650206,1812196,Jim Wells, TX,1790385,1628744,1530712,1586691,1656154
6104272,5934611,5730890,6142760,6166179,Johnson, TX,5846488,6066148,6292626,6723575,7145318
489690,511267,514141,514593,495732,Jones, TX,575634,591338,582358,587721,605580
9252934,11154194,10296951,12711830,13273827,Karnes, TX,598833,637209,625504,720366,776133
3125226,3673450,4173953,4399554,4573275,Kaufman, TX,4154066,4439319,4719797,5090663,5509791
1426455,1544589,1625835,1702032,1822462,Kendall, TX,2890446,3145457,3404347,3580775,3846150
355464,315528,278453,315603,305405,Kenedy, TX,24177,29261,17551,20343,19254
